BAIRRO;CEP;LOGRADOURO
abranches;8213001;RUA JOAO GAVA
abranches;8213002;RUA JOAO ENEAS DE SA
abranches;8213003;RUA MANOEL DOS SANTOS DA SILVA
abranches;8213004;RUA CORONEL JOAO CANDIDO MURICY
abranches;8213005;RUA ENGENHEIRO JOSE ORONTES PIRES
abranches;8213006;RUA DOUTOR MENDES DE ARAUJO
abranches;8213007;RUA ENGENHEIRO HANS HENRIQUE MARTIN PRUETER
abranches;8213008;RUA VITORIO JOAO BRUNOR
abranches;8213008;RUA MATEUS LEME
abranches;8213009;RUA JOSE MUGGIATI SOBRINHO
abranches;8213010;RUA JORGE BASSO
abranches;8213011;RUA DOUTOR RUBEM FLEURY DA ROCHA
abranches;8213012;RUA ALEXANDRE EDUARDO KLAT
abranches;8213013;RUA EDGARD SIMONE
abranches;8213014;RUA MANOEL OYOLA
abranches;8213015;RUA EDUARDO LAFFITTE
abranches;8213016;RUA LIDIA KLINGER
abranches;8213016;RUA ARNALDO GRANATTO
abranches;8213016;RUA RONEL REGNIER BARROZO
abranches;8213017;RUA ADOLFO HENRIQUE KLINGER
abranches;8213018;RUA PAULO MADER BITTENCOURT
abranches;8213018;RUA ESTEVAO MUSSAK
abranches;8213019;RUA RUY ARZUA PEREIRA
abranches;8213020;PRACA IRMA TEREZA
abranches;8213021;RUA PADRE JOSE JOAQUIM GORAL
abranches;8213022;RUA ANTONIO KRAINISKI
abranches;8213022;RUA PROFESSORA ESTELLA MARIANO LACOMBE
abranches;8213023;RUA ALDO PINHEIRO
abranches;8213024;RUA BENEDITO CORREIA DE FREITAS
abranches;8213025;RUA JOAO ANTONIO DAMBISKI
abranches;8213026;RUA ABILIO SEBASTIAO DA SILVA
abranches;8213027;RUA MARIA ANTONIA SILVA
abranches;8213028;RUA ANTONIO MARIANO DE LIMA
abranches;8213028;RUA FRANCISCO BUNICK
abranches;8213029;RUA EUGENIO FLOR
abranches;8213029;RUA VERONICA MICKOSZ BODZINSKI
abranches;8213030;RUA DESEMBARGADOR JOSE CARLOS RIBEIRO RIBAS
abranches;8213031;RUA OSWALDO MACIEL
abranches;8213032;RUA LORY LUNARDON
abranches;8213033;RUA CECILIA MIKOSZ
abranches;8213034;RUA THEODORO BRUNO BREITHAUPT
abranches;8213034;RUA ANDRE ANDRETTA
abranches;8213035;RUA DAS ESMERALDAS
abranches;8213036;RUA JOSE BOGUSZEWSKI
abranches;8213037;RUA PADRE SIGISMUND PIETROWSKI
abranches;8213038;RUA MARTIN KAISER
abranches;8213039;RUA CLARA KUCHENNY
abranches;8213039;RUA BRAULIO FARIA PRADO
abranches;8213039;RUA FLORENTINA FERNANDES CAMARGO
abranches;8213040;RUA CATHARINA PRODLIK
abranches;8213041;RUA HENRIQUE MORALES
abranches;8213042;RUA EXPEDICIONARIO ANTONIO SCHWARTZ
abranches;8213043;RUA ANTONIO VIEIRA DOS SANTOS
abranches;8213044;RUA ADELIRIO DA VEIGA
abranches;8213045;RUA DOUTORA IRIA CORREIA
abranches;8213046;RUA DIOGO PINTO DE AZEVEDO PORTUGAL
abranches;8213047;RUA JOAO KUBIS
abranches;8213047;RUA JOAO KRASINSKI
abranches;8213080;RUA FLORENTINA FERNANDES CAMARGO
abranches;8213081;RUA ANDRE ANDRETTA
abranches;8222017;RUA CARMELINA CAVASSIN
abranches;8222018;RUA LUCIA DECHANDT
abranches;8222019;RUA AUGUSTO DOS ANJOS
abranches;8222020;RUA ALUISIO DE AZEVEDO
abranches;8222021;RUA JOSE BIANECK FILHO
abranches;8222022;RUA MANOEL ARANHA
abranches;8222022;JARDINETE SYRO SIMAO
abranches;8222023;RUA BLAISE PASCAL
abranches;8222024;RUA LUIZ CAVICHIOLO PRIMEIRO
abranches;8222025;RUA PEDRO DE SIQUEIRA CORTES
abranches;8222026;RUA UBERLANDIA
abranches;8222026;JARDINETE VERONICA MIKOSZ KUCEK
abranches;8222027;RUA SANTA EDWIGES
abranches;8222027;RUA JOAO DALLES CARBONAR
abranches;8222027;RUA JOSE ELEZEU RIBEIRO
abranches;8222027;RUA JOAO VICTOR FERREIRA
abranches;8222027;RUA NAIR BELLO
abranches;8222028;RUA PEDRO MANFREDINE
abranches;8222029;RUA CORONEL VERGINIO LEINIG DE MELLO
abranches;8222030;RUA GUILHERME DE SOUZA VALENTE
abranches;8222030;RUA CHARLES DICKENS
abranches;8222030;RUA PEDRO BARICHELO
abranches;8222030;RUA JULIA KANKEL GLODZINSKI
abranches;8222031;RUA JOAQUIM DOS ANJOS
abranches;8222031;RUA ANGELO CUNICO
abranches;8222032;RUA JOSE BAJERSKI
abranches;8222032;RUA HERMENEGILDO DE LARA
abranches;8222032;RUA JULIA DOMINGOS BORTOLOTTO
abranches;8222032;RUA CARLOS ALBERTO FERREIRA BRAGA
abranches;8222032;RUA PALMIRIO VERNES
abranches;8222032;RUA ADELSON LONGO
abranches;8222032;RUA FREDERICO WENDLER
abranches;8222033;RUA RODOLFO NUNES PEREIRA
abranches;8222034;RUA HUMBERTO LEVIS
abranches;8222036;RUA JULIA DOMINGOS BORTOLOTTO
abranches;8222043;RUA SOFIA DUBIELLA
abranches;8222043;RUA HERBERT MUNHOZ VAN ERVEN
abranches;8222043;RUA LEONY ODETTE GANTZEL ZANDONA
abranches;8222044;RUA THADEU WASILEWSKI
abranches;8222045;RUA MARLENE TEREZINHA MORO
abranches;8222047;RUA NELSON PREVEDELLO
abranches;8222047;PRACA ANIBAL AFONSO
abranches;8222050;RUA EGAS ROSA SAMPAIO
abranches;8222050;RUA FRANCISCO BATISTA DE ALMEIDA
abranches;8222050;RUA GENESIO RAMALHO
abranches;8222050;RUA ORLANDO DE OLIVEIRA MELLO
abranches;8222051;RUA WILSON GOMES RAMOS
abranches;8222051;RUA EWERTON RIBEIRO DOS SANTOS
abranches;8222051;RUA MASSAMORI INOUHE
abranches;8222051;RUA RODOVIL LIODOR BRENNER
abranches;8222051;RUA MIECISLAU LEKENT
abranches;8222051;RUA LYA MARQUES VIEIRA
abranches;8222051;RUA LUCIA SOPPELSA DE BONI
abranches;8222051;RUA STEFANO TRISKA
abranches;8222052;RUA CAPITAO ISMAEL ROXO
abranches;8222053;RUA MIGUEL MAFUZ
abranches;8222054;RUA DOVICO DALPRA
abranches;8222055;RUA THEODORO ZUBINSKI
abranches;8222055;RUA ROBERTO LUIZ BOHNENSTENGEL
abranches;8222055;RUA MARIA FALAT
abranches;8222055;RUA JOSE MANOEL SEILER SOUZA
abranches;8222055;RUA WALFRIDO LEAL
abranches;8222055;RUA JOAO FALATE
abranches;8222055;RUA JOSE IZAR
abranches;8222056;RUA JOAO BAPTISTA MAYER
abranches;8222056;RUA WALDEMAR REIKDAL
abranches;8222056;RUA ANTONIO PEREIRA DE SANTANA
abranches;8222056;RUA DOUTOR JOSE ALVES TEIXEIRA
abranches;8222056;RUA PEDRO SOARES
abranches;8222056;RUA DOUTOR CARLOS ELOY REICHMANN
abranches;8222056;RUA MIGUEL DIAS GONCALVES
abranches;8222057;RUA LUIZ MURARO
abranches;8222058;RUA JOAO BARWIK
abranches;8222059;RUA REINALDO ATHAIDE SANTOS
abranches;8222060;RUA PEDRO POLAK
abranches;8222060;RUA ELVINY FERNANDES
abranches;8222060;RUA DOUTOR PAULO CARBONE JUNIOR
abranches;8222061;RUA AUGUSTO CONTE
abranches;8222062;RUA JORGE LUIZ MURARO
abranches;8222063;RUA FRANCISCO DUBIELLA
abranches;8222064;RUA WADISNAW MUCHARSKI
abranches;8222065;RUA JORDAO CORREA
abranches;8222066;RUA VICTOR KOTOVIS
abranches;8222066;RUA JOAO BATISTA MENEGUETTE
abranches;8222066;RUA ALCIDES CASSIMIRO
abranches;8222067;RUA MARGARIDA MEIRELLES
abranches;8222068;RUA LUIZ MURARO
agua-verde;8022020;AVENIDA PRESIDENTE KENNEDY
agua-verde;8024002;AVENIDA SILVA JARDIM
agua-verde;8024003;AVENIDA IGUACU
agua-verde;8024003;AVENIDA IGUACU
agua-verde;8024004;AVENIDA PRESIDENTE GETULIO VARGAS
agua-verde;8024005;RUA PETIT CARNEIRO
agua-verde;8024006;RUA BRASILIO ITIBERE
agua-verde;8024009;RUA TENENTE MAX WOLF FILHO
agua-verde;8024010;TRAVESSA JOAO TURIN
agua-verde;8024011;RUA BENTO VIANA
agua-verde;8024012;RUA SILVEIRA PEIXOTO
agua-verde;8024013;RUA DOUTOR ALEXANDRE GUTIERREZ
agua-verde;8024014;RUA SAINT HILAIRE
agua-verde;8024015;LARGO DOUTOR ACIR MULINARI
agua-verde;8024017;TRAVESSA LANGE
agua-verde;8024018;PRACA DO JAPAO
agua-verde;8024019;TRAVESSA PERCY WITHERS
agua-verde;8024020;LARGO PROFESSOR HAROLDO TREVISANI BELTRAO
agua-verde;8024021;AVENIDA REPUBLICA ARGENTINA
agua-verde;8024022;RUA BRUNO FILGUEIRA
agua-verde;8024022;JARDINETE MONSENHOR FRANCISCO GORSKI
agua-verde;8024023;RUA ACYR GUIMARAES
agua-verde;8024023;JARDINETE CELESTINA BORTOLETTO CAVALLIN
agua-verde;8024024;RUA CARNEIRO LOBO
agua-verde;8024025;PRACA MARIA POLENTA
agua-verde;8024028;RUA CANDIDO XAVIER
agua-verde;8024029;RUA HERCULANO CARLOS FRANCO DE SOUZA
agua-verde;8024030;RUA PROFESSOR OCTAVIO DA SILVEIRA
agua-verde;8024032;RUA LEONCIO CORREIA
agua-verde;8024036;LARGO ANIBAL GUIMARAES CARNEIRO
agua-verde;8024061;JARDINETE ERASMO PILOTO
agua-verde;8024063;RUA NORBERTO ANTONIO CALLIARI
agua-verde;8024067;JARDINETE PAULA PEDROSO DO AMARAL
agua-verde;8024090;AVENIDA AGUA VERDE, 1682
agua-verde;8024298;AVENIDA PRESIDENTE GETULIO VARGAS, 3309 LOJA 4
agua-verde;8025004;RUA DOUTOR PEDRO AUGUSTO MENNA BARRETO MONCLARO
agua-verde;8025004;RUA BRIGADEIRO FRANCO
agua-verde;8025005;PARQUE AFONSO BOTELHO
agua-verde;8025006;RUA DESEMBARGADOR MOTTA
agua-verde;8025009;RUA MADRE MARIA DOS ANJOS
agua-verde;8025010;RUA CORONEL DULCIDIO
agua-verde;8025010;RUA PASTEUR
agua-verde;8025011;RUA MAURICIO CAILLET
agua-verde;8025012;RUA ALFERES ANGELO SAMPAIO
agua-verde;8025014;RUA ANTONIO CELLI
agua-verde;8025015;RUA ALMIRANTE GONCALVES
agua-verde;8025020;AVENIDA SETE DE SETEMBRO
agua-verde;8025090;AVENIDA SILVA JARDIM, 1502
agua-verde;8025090;AVENIDA VISCONDE DE GUARAPUAVA, 4350
agua-verde;8061000;RUA MARANHAO
agua-verde;8061001;AVENIDA PRESIDENTE KENNEDY
agua-verde;8061002;RUA PARA
agua-verde;8061002;RUA PARANAGUA
agua-verde;8061003;RUA AMAZONAS
agua-verde;8061004;AVENIDA DOS ESTADOS
agua-verde;8061005;PRACA ELIAS ABDO BITTAR
agua-verde;8061006;RUA RIO DE JANEIRO
agua-verde;8061007;RUA SAO PAULO
agua-verde;8061008;RUA EUGENIO JOSE DE SOUZA
agua-verde;8061009;RUA SANTA CATARINA
agua-verde;8061010;RUA RIO GRANDE DO SUL
agua-verde;8061011;RUA MATO GROSSO
agua-verde;8061012;RUA GOIAS
agua-verde;8061013;RUA ACRE
agua-verde;8061030;RUA GUILHERME PUGSLEY
agua-verde;8061090;AVENIDA REPUBLICA ARGENTINA, 1927
agua-verde;8061398;AVENIDA PRESIDENTE KENNEDY, 2831
agua-verde;8062000;RUA GUILHERME PUGSLEY
agua-verde;8062002;TRAVESSA NAGIB GUERIOS
agua-verde;8062003;RUA JOAO RODOLFO SCHLENKER
agua-verde;8062004;RUA ACRE
agua-verde;8062005;RUA DOS JOSEFINOS
agua-verde;8062006;RUA GOIAS
agua-verde;8062007;RUA MATO GROSSO
agua-verde;8062008;RUA RIO GRANDE DO SUL
agua-verde;8062009;TRAVESSA FERREIRA DO AMARAL
agua-verde;8062010;RUA SANTA CATARINA
agua-verde;8062011;RUA PALMEIRAS
agua-verde;8062012;RUA MURILO DO AMARAL FERREIRA
agua-verde;8062013;RUA DOM PEDRO I
agua-verde;8062014;RUA ROMEDIO DORIGO
agua-verde;8062015;TRAVESSA RAFAEL FRANCISCO GRECA
agua-verde;8062016;LARGO CIRO SILVA
agua-verde;8062017;PRACA MONSENHOR FRANCISCO STARZINSKI
agua-verde;8062018;TRAVESSA CAPITAO CLEMENTINO PARANA
agua-verde;8062019;RUA SALUSTIANO CORDEIRO
agua-verde;8062020;AVENIDA AGUA VERDE
agua-verde;8062020;JARDINETE SEBASTIANA SIQUEIRA DE ALMEIDA
agua-verde;8062021;RUA MARQUES DO PARANA
agua-verde;8062021;JARDINETE LUIZ CARLOS RIBEIRO
agua-verde;8062022;RUA SAMUEL CEZAR
agua-verde;8062023;RUA MONSENHOR MANOEL VICENTE
agua-verde;8062024;RUA JOSE CADILHE
agua-verde;8062025;RUA PROFESSOR ASSIS GONCALVES
agua-verde;8062026;PRACA MARIA BERGAMIN ANDRETTA
agua-verde;8062027;RUA ALCEBIADES PLAISANT
agua-verde;8062028;RUA PROFESSOR LUIZ CESAR
agua-verde;8062029;RUA PEDRO BAGGIO
agua-verde;8062030;RUA CASTRO
agua-verde;8062031;RUA OTAVIO FRANCISCO DIAS
agua-verde;8062032;NUCLEO AMBIENTAL ANIELLO PIERRI
agua-verde;8062033;RUA SANTO AMARO
agua-verde;8062034;RUA JOSE KLOSS
agua-verde;8062035;LARGO JACOB STOFELLA FILHO
agua-verde;8062036;RUA JOAO ANTONIO XAVIER
agua-verde;8062037;RUA GERALDO GABARDO
agua-verde;8062038;RUA CORONEL JOSE GOMES DO AMARAL
agua-verde;8062039;RUA FRANCISCO NEGRAO
agua-verde;8062040;RUA NESTOR VICTOR
agua-verde;8062040;PRACA SAGRADO CORACAO DE JESUS
agua-verde;8062041;RUA SILVEIRA NETO
agua-verde;8062042;RUA JACINTO ANTUNES DA SILVA
agua-verde;8062043;LARGO ORLEI KOS
agua-verde;8062044;RUA DOUTOR RAUL CARNEIRO FILHO
agua-verde;8062044;RUA CONSELHEIRO DANTAS
agua-verde;8062045;RUA MIGUEL ROMANEL
agua-verde;8062046;RUA JOAO THIELE
agua-verde;8062047;LARGO JORNALISTA CARLOS COELHO
agua-verde;8062048;JARDINETE SERGIO FRAGA
agua-verde;8062049;JARDINETE IRMA EFIGENIA
agua-verde;8062050;PRACA PROFESSORA ROSA KOLODY
agua-verde;8062051;PRACA HEE WING
agua-verde;8062052;PRACA KORNEL DENEGA
agua-verde;8062090;RUA ACRE, 205
agua-verde;8062090;RUA GUILHERME PUGSLEY, 1959
agua-verde;8062097;AVENIDA REPUBLICA ARGENTINA, 1902 LOJA 2
agua-verde;8063020;RUA ESPIRITO SANTO
ahu;8003028;RUA CAMPOS SALES
ahu;8053037;RUA CELESTE SANTI
ahu;8053038;RUA ALBANO REIS
ahu;8053040;PRACA RIO IGUACU
ahu;8053041;PRACA ELLEN WHITE
ahu;8054000;RUA ALBERTO FOLLONI
ahu;8054002;TRAVESSA IRMA JULIA
ahu;8054003;RUA RICARDO LEMOS
ahu;8054004;RUA FRANCISCO DE PAULA GUIMARAES
ahu;8054005;RUA SAO SEBASTIAO
ahu;8054006;TRAVESSA SAO BENEDITO
ahu;8054006;RUA ELVIRA HAUPT GROTZNER
ahu;8054007;LARGO VEREADOR DORGELO ANTONIO BIAZZETO
ahu;8054008;RUA DEPUTADO EMILIO CARLOS
ahu;8054009;LARGO OTTO BRAUN
ahu;8054010;RUA ANTONIO FRANCISCO BONATTO
ahu;8054011;RUA BENJAMIN ZILLI
ahu;8054012;PRACA PEDRO ALEXANDRE BROTTO
ahu;8054013;RUA FAUSTO NASCIMENTO BITTENCOURT
ahu;8054014;RUA ECA DE QUEIROZ
ahu;8054015;RUA GABRIELA MISTRAL
ahu;8054016;RUA TOMAZINA
ahu;8054017;LARGO SENADOR FLAVIO GUIMARAES
ahu;8054018;AVENIDA ANITA GARIBALDI
ahu;8054019;RUA DOUTOR BEZERRA DE MENEZES
ahu;8054020;RUA SANTA RITA DE CASSIA
ahu;8054021;RUA VEREADOR WASHINGTON MANSUR
ahu;8054022;RUA EMILIO CORNELSEN
ahu;8054023;RUA MARECHAL MALLET
ahu;8054024;RUA SAO PIO X
ahu;8054025;RUA COLOMBO
ahu;8054026;RUA GUARATUBA
ahu;8054027;RUA AFONSO CELSO
ahu;8054028;RUA EURIPEDES GARCEZ DO NASCIMENTO
ahu;8054028;JARDINETE ARGENTINO RUMIATO
ahu;8054029;RUA MARECHAL HERMES
ahu;8054032;RUA FRANCISCO SCREMIN
ahu;8054033;RUA PEDRO RIGOTTO
ahu;8054034;RUA CORONEL BRASILINO MOURA
ahu;8054035;RUA LEONIDAS VICENTE DE CASTRO
ahu;8054036;PRACA CORONEL ELISIO DA COSTA MARQUES
ahu;8054037;JARDINETE SENEVAL CARDOSO
ahu;8054038;RUA DAVID BIZ
ahu;8220022;RUA DEPUTADO WANDERLEY JUNIOR
ahu;8220023;RUA COMENDADOR SANTIAGO COLLE
ahu;8220024;LARGO ERASMO DE ROTTERDAM
ahu;8220025;RUA JOSE FRANCISCO DALLEDONE
ahu;8220026;RUA ANTONIO CORREA BITTENCOURT
ahu;8220027;RUA NEWTON FRANCA BITTENCOURT
ahu;8220028;RUA GLAUCIO BANDEIRA
ahu;8220029;RUA DOUTORA MARIA FALCE DE MACEDO
ahu;8220030;RUA REVERENDO PAULO HECKE
ahu;8220030;PRACA PROFESSORA EZILDA JOSE ABUSSAMARA SALLUM
ahu;8220031;RUA VEREADOR WASHINGTON MANSUR
ahu;8220031;PRACA TOKIO ITO
ahu;8220032;RUA SECONDO TEDESCHI
ahu;8220033;RUA SANTO AFONSO DE LIGORIO
ahu;8220034;TRAVESSA RODOLPHO ROSENAU
ahu;8220035;PRACA CAPITAO JOVIANO PEREIRA DE CAMARGO
ahu;8220036;RUA ATILIO LEAL
ahu;8220037;RUA CORONEL JOAO MATTOS GUEDES
ahu;8220038;RUA SANTA CLARA
ahu;8220038;AVENIDA ANITA GARIBALDI
ahu;8220039;RUA RAIMUNDO DA MOTTA DE AZEVEDO CORREIA
ahu;8220040;PRACA MOUNIF TACLA
ahu;8220041;RUA MANOEL PADILHA DE LIMA
ahu;8220042;RUA PLACIDO PREVEDELLO
ahu;8220043;RUA ANTONIO GRECA
ahu;8220044;RUA JOSE KORMANN
ahu;8220045;RUA FERNANDO MANSUR WEKERLIN
ahu;8220046;RUA PROFESSORA VICTORIA GRASSI MATTEI
ahu;8220047;RUA IRMAO RUPERTO FELIX
ahu;8220048;JARDINETE DOUTOR MANOEL LOPES DE ALENCAR
ahu;8220049;RUA JOSE NICOLLETTI
ahu;8220050;RUA CAPITAO MANOEL PACHECO DA COSTA
ahu;8220051;RUA CORONEL ADYR GUIMARAES
ahu;8220052;RUA HELIO SALDANHA
ahu;8220053;AVENIDA ANITA GARIBALDI
ahu;8220056;JARDINETE ALCEBIADES DE OLIVEIRA
ahu;8220057;JARDINETE MANOEL SCLIAR
ahu;8220058;RUA ALEXANDRE BAKA
ahu;8220059;JARDINETE SIEGFRIED RIGLER
ahu;8220097;AVENIDA ANITA GARIBALDI, 2480 LOJAS 38 E 39
ahu;8220198;AVENIDA ANITA GARIBALDI, 2356
alto-boqueirao;8172022;RUA JOAO WINTER
alto-boqueirao;8172023;RUA JORGE BREY
alto-boqueirao;8172023;RUA FRANCISCO DEROSSO
alto-boqueirao;8172024;RUA JULIO ZANDONA
alto-boqueirao;8172024;RUA CRISTIANO STROBEL
alto-boqueirao;8172025;RUA PALOTINA
alto-boqueirao;8172026;RUA MATINHOS
alto-boqueirao;8172027;RUA MIRASELVA
alto-boqueirao;8172028;RUA DESEMBARGADOR ANTONIO DE PAULA
alto-boqueirao;8172029;RUA SAO FRANCISCO DE SALES
alto-boqueirao;8172030;RUA MAX SCHUBERT
alto-boqueirao;8172031;RUA BOM PASTOR
alto-boqueirao;8172032;RUA FRANCISCO ZEM
alto-boqueirao;8172033;RUA EVERALDO BACKHEUSER
alto-boqueirao;8172033;JARDINETE RAUL MARTIM BREY
alto-boqueirao;8172034;RUA VEREADOR YRLAN CAVET
alto-boqueirao;8172034;RUA JOAO MARTINS DA SILVA FILHO
alto-boqueirao;8172034;RUA NILSON TRINKEL
alto-boqueirao;8172034;RUA ADILIA ALVES BETENHEUSER
alto-boqueirao;8172035;PRACA MAESTRO FERNANDO ALVES
alto-boqueirao;8172036;RUA CAIO GRACCHO KRUEGER
alto-boqueirao;8172037;RUA VICENTE COSTA
alto-boqueirao;8175032;RUA PADRE SIMAO KALINOWSKI
alto-boqueirao;8175032;RUA MAESTRO CARLOS FRANK
alto-boqueirao;8175033;RUA PAULO ARENDARCHUK
alto-boqueirao;8175041;RUA PEDRO RAMOS DE OLIVEIRA
alto-boqueirao;8175047;RUA EDINEI CEZAR CHARNESKI
alto-boqueirao;8175051;RUA EDMUNDO GILLUNG
alto-boqueirao;8177000;RUA FRANCISCO DEROSSO
alto-boqueirao;8177002;RUA EUGENIO DA SILVA LOPES
alto-boqueirao;8177003;RUA ANSELMO JOSE PEREIRA
alto-boqueirao;8177004;RUA CONTADOR JOAO TEZEO
alto-boqueirao;8177005;RUA DARCI CORDEIRO
alto-boqueirao;8177006;RUA ALECIO MASSON
alto-boqueirao;8177007;RUA OLIMPIO GOMES DE CARVALHO
alto-boqueirao;8177008;RUA DOUTOR DECIO DOSSI
alto-boqueirao;8177009;RUA FAUSTINO JACOB STOFELLA
alto-boqueirao;8177010;RUA DIVAIR LUIZ DOS SANTOS
alto-boqueirao;8177011;RUA HIPOLITO WOICHOSKI
alto-boqueirao;8177012;RUA FRANCISCO CECCON
alto-boqueirao;8177013;RUA JOSE JULIANO AYRES
alto-boqueirao;8177014;RUA CORONEL HERMINIO ALVES CABRAL
alto-boqueirao;8177015;RUA RODOLPHO AUGUSTO
alto-boqueirao;8177016;RUA EDUARDO KIRYLLA
alto-boqueirao;8177017;RUA AGENOR SATURNINO RIBEIRO
alto-boqueirao;8177018;RUA EZIO ZANELLO
alto-boqueirao;8177019;RUA LUIZ CARLOS MUGGIATI
alto-boqueirao;8177020;RUA WILSON DACHEUX PEREIRA
alto-boqueirao;8177020;PRACA ONOFRE SILVESTRE
alto-boqueirao;8177021;RUA RAUL POITEVEN
alto-boqueirao;8177022;RUA ALBINO FREDERICO FOERSTER
alto-boqueirao;8177023;RUA PROFESSOR RAUL RODRIGUES GOMES
alto-boqueirao;8177023;RUA JULIETA SCARAMUSSA MARQUES
alto-boqueirao;8177024;RUA VEREADOR ANTONIO GIACOMASSI
alto-boqueirao;8177025;RUA JERUSALEM
alto-boqueirao;8177025;RUA MATHIAS DE ANDRADE ROCHA
alto-boqueirao;8177026;RUA PASTOR ANTONIO POLITO
alto-boqueirao;8177026;RUA FRANCISCO DEROSSO
alto-boqueirao;8177026;PRACA RECANTO DOS EUCALIPTOS
alto-boqueirao;8177027;RUA MIRADOR
alto-boqueirao;8177028;RUA MARILUZ
alto-boqueirao;8177029;RUA LOANDA
alto-boqueirao;8177030;RUA MARILANDIA DO SUL
alto-boqueirao;8177030;PRACA NEI GONCALVES DE PAULA
alto-boqueirao;8177031;RUA LARANJEIRAS DO SUL
alto-boqueirao;8177031;TRAVESSA CELIA CARDOZO DOS SANTOS
alto-boqueirao;8177031;TRAVESSA DONIZETTI ADALTO DOS SANTOS
alto-boqueirao;8177032;RUA TENENTE-CORONEL VILAGRAN CABRITA
alto-boqueirao;8177033;RUA ANGELINA LEGAT PASINI
alto-boqueirao;8177034;RUA ERTON COELHO QUEIROZ
alto-boqueirao;8177034;RUA HORACY SANTOS
alto-boqueirao;8177037;RUA PROFESSORA EDMEE NEAL ALGOUVER
alto-boqueirao;8177037;RUA MARIO COLOMBO
alto-boqueirao;8177038;RUA ITAPEJARA DO OESTE
alto-boqueirao;8177039;RUA IVAIPORA
alto-boqueirao;8177040;RUA LUIZ MACHUCA
alto-boqueirao;8177041;RUA JABOTI
alto-boqueirao;8177042;RUA JAGUAPITA
alto-boqueirao;8177043;RUA IPORA
alto-boqueirao;8177043;RUA JOSE SILVEIRA
alto-boqueirao;8177044;RUA ITAUNA DO SUL
alto-boqueirao;8177045;RUA LEOPOLIS
alto-boqueirao;8177046;RUA IVAI
alto-boqueirao;8177047;RUA SEVERINO GONCALVES
alto-boqueirao;8177048;RUA MAESTRO ACYR BENEDITO TEDESCHI
alto-boqueirao;8177049;PRACA CARLOS ROBERTO KASEKER
alto-boqueirao;8177050;RUA JOILSON MARCOS ALVES
alto-boqueirao;8177051;RUA RALF ALBERTO LARSEN
alto-boqueirao;8177052;RUA JOAO MORAES
alto-boqueirao;8177053;RUA ANA JORGE DE OLIVEIRA CARVALHO
alto-boqueirao;8177054;RUA ARTHUR MANOEL IWERSEN
alto-boqueirao;8177055;RUA SALVADOR EVANGELISTA
alto-boqueirao;8177056;RUA PEDRO DA SILVA
alto-boqueirao;8177057;RUA JOSE DONADELLO
alto-boqueirao;8177058;RUA LAZARO BORSSATTO
alto-boqueirao;8177059;RUA ARTUR ALBERTO SCHMEISKE
alto-boqueirao;8177060;RUA LADISLAU POLOVEY
alto-boqueirao;8177061;RUA GILNEY CARNEIRO LEAL
alto-boqueirao;8177062;RUA JOSE KREFTA
alto-boqueirao;8177063;RUA IRINEU PREVEDELLO TEDESCO
alto-boqueirao;8177064;RUA ULISSES GERALDO MORO
alto-boqueirao;8177065;RUA CICERO FRANCISCO DOS ANJOS
alto-boqueirao;8177066;RUA JORGE CARLOS BUCZEK
alto-boqueirao;8177067;RUA DOUTOR JONAS SALOMAO DEQUECH
alto-boqueirao;8177068;RUA IZAC MOYSES KVIATEK
alto-boqueirao;8177069;RUA NAIR FERRAZ CAZELLATO
alto-boqueirao;8177070;RUA JOAQUIM RIBEIRO DE CAMARGO
alto-boqueirao;8177071;RUA EURIDES GONCALVES SALDANHA
alto-boqueirao;8177072;RUA DOLORES DA SILVA
alto-boqueirao;8177073;RUA PEDRO SEBASTIAO MEDEIROS
alto-boqueirao;8177074;RUA ANTONIO CAMILO DA PAZ
alto-boqueirao;8177075;RUA LOUREMIR LUIZ GOUVEIA
alto-boqueirao;8177076;RUA ANTONIO COLTRO
alto-boqueirao;8177077;RUA HOMERO ALVES DA SILVA
alto-boqueirao;8177077;PRACA RUDOLFO MIGUEL HANSEL
alto-boqueirao;8177077;RUA GERALDO WARKENTIN
alto-boqueirao;8177077;RUA NIWALDO ALBERTO BARAO
alto-boqueirao;8177077;RUA ESTANISLAU WILDNER
alto-boqueirao;8177077;RUA ERNESTO VIEIRA DE SOUZA
alto-boqueirao;8177077;TRAVESSA PROFESSORA MARIA DO CARMO DE FIGUEIREDO SILVA
alto-boqueirao;8177078;RUA MARIA JOSEPHINA MONTEIRO FRANCO
alto-boqueirao;8177078;RUA DOUTOR JOAO ILTAUMYR MILANO
alto-boqueirao;8177078;RUA VEREADOR JOSE MARIA DE AZEVEDO
alto-boqueirao;8177078;RUA ALCIDES PROHMANN ARCO-VERDE
alto-boqueirao;8177078;RUA RUBENS DAVID DOS SANTOS CARNEIRO
alto-boqueirao;8177078;RUA DOUTOR CARLOS ALBERTO PEREIRA DE OLIVEIRA
alto-boqueirao;8177078;RUA ROMAR TEIXEIRA NOGUEIRA
alto-boqueirao;8177078;RUA NICOLAU ELIAS ABAGGE
alto-boqueirao;8177078;RUA DECIO BRONZE DE ALMEIDA
alto-boqueirao;8177078;RUA SYLVINHA ARAUJO
alto-boqueirao;8177079;RUA MARIA MARQUES DE CAMARGO
alto-boqueirao;8177079;RUA CARLOS KLUG
alto-boqueirao;8177079;RUA ANNA JARVIS
